source,target
tHFqZ80vHpWr4Kv,Edhie_Baskoro
jalZSRetsj0XLWT,Edhie_Baskoro
Adrienn38386201,Edhie_Baskoro
Mamikhadirlagi,ARH1924_New
tzasRytN5xUehHy,Edhie_Baskoro
VoaaJ55NK4VJqFf,Edhie_Baskoro
DedyNad_id,susipudjiastuti
ghoV2HzqzGMUSYn,Edhie_Baskoro
g06H9FcV0XtuC6x,Edhie_Baskoro
k7WZP2aQl1UGkX8,Edhie_Baskoro
Ghazi10415477,susipudjiastuti
Veqc2Fx02Hgul08,Edhie_Baskoro
fupmk20rMxagfTc,Edhie_Baskoro
tacabotnyawamu,susipudjiastuti
Susan14466902,Edhie_Baskoro
idayu_wien,susipudjiastuti
Maulana11423281,susipudjiastuti
Maulana11423281,motizenchannel
Maulana11423281,podoradong
Maulana11423281,reformasimental
CaronaUpdates,ijonriduan
Betadin7,susipudjiastuti
Betadin7,M_Asmara1701
Betadin7,podoradong
Betadin7,Berkarya_Info
Betadin7,Dandhy_Laksono
Betadin7,podoradong
Betadin7,dapitnih
P9BEQBV4z1cpZ5W,Edhie_Baskoro
ardina555,susipudjiastuti
95NxiK4PmSl5RJ9,Edhie_Baskoro
MBPIsSLidfEJ3XF,Edhie_Baskoro
fandifhuh,KATADATAcoid
fandifhuh,kumparan
fandifhuh,kumparan
fandifhuh,antarabiz
fandifhuh,detikfinance
fandifhuh,cnbcindonesia
fandifhuh,cnbcindonesia
fandifhuh,detikcom
fandifhuh,KontanNews
fandifhuh,kompascom
fandifhuh,BizlawIndonesia
fandifhuh,liputan6dotcom
fandifhuh,detikfinance
fandifhuh,tintasiyasi_id JasSastra
fandifhuh,Bisniscom
fandifhuh,cnbcindonesia
fandifhuh,kumparan
fandifhuh,RRIPrograma3 RRI
fandifhuh,cnbcindonesia
fandifhuh,detikfinance
fandifhuh,cnbcindonesia
fandifhuh,cnbcindonesia
fandifhuh,samudranesiaID
fandifhuh,detikfinance
fandifhuh,smartmoney_co
fandifhuh,CNNIndonesia
fandifhuh,KompasEkonomi
fandifhuh,okezonenews
fandifhuh,Hskaimin IndosatCare
fandifhuh,LokadataID
fandifhuh,kompascom
fandifhuh,cnbcindonesia
fandifhuh,okezonenews
fandifhuh,MNCkoranSINDO
fandifhuh,BigAlphaID
fandifhuh,cnbcindonesia
fandifhuh,BizlawIndonesia
fandifhuh,liputan6dotcom
fandifhuh,cnbcindonesia
fandifhuh,LokadataID
fandifhuh,detikfinance
fandifhuh,liputan6dotcom
fandifhuh,GuardianNKRI DiniHrdianti
fandifhuh,KompasData
fandifhuh,SumberMedia
fandifhuh,KAMMOES SaptaAtmadja
fandifhuh,cnbcindonesia
fandifhuh,tradinguang
fandifhuh,okezonenews
fandifhuh,KOMMARI5
fandifhuh,liputan6dotcom
fandifhuh,Zumpio
fandifhuh,idntodayco
fandifhuh,detikfinance
fandifhuh,detikcom
fandifhuh,cnbcindonesia
fandifhuh,Berita7dotid
fandifhuh,ExJapemethe Gandos_Akek medcom_id
fandifhuh,genbisnis_com
fandifhuh,cnbcindonesia
fandifhuh,kompasiana
fandifhuh,MediaFlores1
fandifhuh,kumparan
fandifhuh,cnbcindonesia
fandifhuh,okezonenews
fandifhuh,geloraco
fandifhuh,Bisniscom
fandifhuh,KurioID
fandifhuh,kompasiana
fandifhuh,SumberMedia
fandifhuh,detikfinance
fandifhuh,anandamulia
fandifhuh,detikfinance
fandifhuh,cnbcindonesia
fandifhuh,cnbcindonesia
fandifhuh,abufauzan1924
fandifhuh,20detik
fandifhuh,RicKY_KCh
fandifhuh,lawjusticeco
fandifhuh,detikfinance
fandifhuh,cnbcindonesia
fandifhuh,PolitikToday
fandifhuh,fnncoid
fandifhuh,cnbcindonesia
AyyashFerry,ARH1924_New
HenkMizell,okezonenews
HenkMizell,liputan6dotcom
HenkMizell,liputan6dotcom
HenkMizell,detikcom detikfinance
HenkMizell,liputan6dotcom
HenkMizell,detikcom detikfinance
HenkMizell,tempodotco
HenkMizell,hariankompas
HenkMizell,hariankompas
HenkMizell,okezonenews
dDVxLxiKdoIPrZP,Edhie_Baskoro
Susan80140073,Edhie_Baskoro
Susan08057265,Edhie_Baskoro
Kudriawan1,_KingPurwa
Kudriawan1,LexWu13
Kudriawan1,susipudjiastuti
endar82,ridwannukasep DcabIndonesia TulipKuning5 Arsymuhammad9 luthfivip detikcom
endar82,carulukswulan ridwannukasep DcabIndonesia TulipKuning5 Arsymuhammad9 luthfivip detikcom
endar82,ridwannukasep DcabIndonesia TulipKuning5 Arsymuhammad9 luthfivip detikcom
endar82,DcabIndonesia ridwannukasep TulipKuning5 Arsymuhammad9 luthfivip detikcom
e8hDo6orw6N2zgo,Edhie_Baskoro
SLambardy,ARH1924_New
SLambardy,susipudjiastuti
adityayu_,BigAlphaID
adityayu_,detikfinance
adityayu_,detikfinance
adityayu_,detikfinance
16erstwhile,kompasiana
oshima019,toegiono
lv8xK8kwZT6rvvt,Edhie_Baskoro
4NpGkPO1fz0TU0Y,Edhie_Baskoro
wAt6eyCDRV0yHxP,Edhie_Baskoro
mfauzirizal82,Habibah_US2
mfauzirizal82,AbaheAyman
mfauzirizal82,ARH1924_New
mfauzirizal82,NewsMuslimah
fiEQ8lNBvlKRFDm,Edhie_Baskoro
qB2cuQu42HWxv7y,Edhie_Baskoro
Najwa_Alifah02,ARH1924_New
SeanAkbar4,detikfinance
SeanAkbar4,podo_ora_dong
SeanAkbar4,susipudjiastuti
SeanAkbar4,podoradong
SeanAkbar4,motizenchannel
Xj2QLPWpCLx0ML7,Edhie_Baskoro
xhamstir,CNNIndonesia
Polyglot7777,susipudjiastuti
mario_ono,dickyrevolution susipudjiastuti
julcahya,susipudjiastuti
